DATE,PRCP,TMAX,TMIN,PRCPT,YEAR
20090101,0.07,NULL,NULL,NULL,2009
20090101,0.09,NULL,NULL,NULL,2009
20090101,0.1,NULL,NULL,NULL,2009
20090101,0.06,NULL,NULL,NULL,2009
20090101,0.32,NULL,NULL,NULL,2009
20090101,0.56,54,45,0.56,2009
20090102,0.51,NULL,NULL,NULL,2009
20090102,0.65,NULL,NULL,NULL,2009
20090102,0.78,NULL,NULL,NULL,2009
20090102,0.68,NULL,NULL,NULL,2009
20090102,0.71,NULL,NULL,NULL,2009
20090102,0.31,53,32,0.78,2009
20090103,0.19,NULL,NULL,NULL,2009
20090103,0.11,NULL,NULL,NULL,2009
20090103,0.13,NULL,NULL,NULL,2009
20090103,0.21,NULL,NULL,NULL,2009
20090103,0.03,NULL,NULL,NULL,2009
20090103,0.06,45,30,0.21,2009
20090104,0,NULL,NULL,NULL,2009
20090104,0.01,NULL,NULL,NULL,2009
20090104,0.03,NULL,NULL,NULL,2009
20090104,0.09,NULL,NULL,NULL,2009
20090104,0,NULL,NULL,NULL,2009
20090104,0.05,49,30,0.09,2009
20090105,0.14,NULL,NULL,NULL,2009
20090105,0.18,NULL,NULL,NULL,2009
20090105,0.24,NULL,NULL,NULL,2009
20090105,0.18,NULL,NULL,NULL,2009
20090105,0.36,NULL,NULL,NULL,2009
20090105,0.46,50,47,0.46,2009
20090106,0.51,NULL,NULL,NULL,2009
20090106,0.32,NULL,NULL,NULL,2009
20090106,0.63,NULL,NULL,NULL,2009
20090106,0.73,NULL,NULL,NULL,2009
20090106,1.36,NULL,NULL,NULL,2009
20090106,0.61,53,49,1.36,2009
20090107,0.14,NULL,NULL,NULL,2009
20090107,0.15,NULL,NULL,NULL,2009
20090107,0.17,NULL,NULL,NULL,2009
20090107,0.17,NULL,NULL,NULL,2009
20090107,0.28,NULL,NULL,NULL,2009
20090107,0.11,54,51,0.28,2009
20090108,0.67,NULL,NULL,NULL,2009
20090108,0.65,NULL,NULL,NULL,2009
20090108,0.82,NULL,NULL,NULL,2009
20090108,0.72,NULL,NULL,NULL,2009
20090108,0.83,NULL,NULL,NULL,2009
20090108,0.72,51,37,0.83,2009
20090109,0.05,NULL,NULL,NULL,2009
20090109,0.05,NULL,NULL,NULL,2009
20090109,0.05,NULL,NULL,NULL,2009
20090109,0.12,NULL,NULL,NULL,2009
20090109,0.04,NULL,NULL,NULL,2009
20090109,0,47,31,0.12,2009
20090110,0.02,NULL,NULL,NULL,2009
20090110,0.02,NULL,NULL,NULL,2009
20090110,0,NULL,NULL,NULL,2009
20090110,0,NULL,NULL,NULL,2009
20090110,0,NULL,NULL,NULL,2009
20090110,0,51,28,0.02,2009
20090111,0.02,NULL,NULL,NULL,2009
20090111,0.01,NULL,NULL,NULL,2009
20090111,0,NULL,NULL,NULL,2009
20090111,0,NULL,NULL,NULL,2009
20090111,0,NULL,NULL,NULL,2009
20090111,0,56,35,0.02,2009
20090112,0.03,NULL,NULL,NULL,2009
20090112,0.03,NULL,NULL,NULL,2009
20090112,0,NULL,NULL,NULL,2009
20090112,0,NULL,NULL,NULL,2009
20090112,0,NULL,NULL,NULL,2009
20090112,0,57,35,0.03,2009
20090113,0.01,NULL,NULL,NULL,2009
20090113,0,NULL,NULL,NULL,2009
20090113,0,NULL,NULL,NULL,2009
20090113,0,NULL,NULL,NULL,2009
20090113,0,NULL,NULL,NULL,2009
20090113,0,57,30,0.01,2009
20090114,0.01,NULL,NULL,NULL,2009
20090114,0,NULL,NULL,NULL,2009
20090114,0,NULL,NULL,NULL,2009
20090114,0,NULL,NULL,NULL,2009
20090114,0,NULL,NULL,NULL,2009
20090114,0,56,28,0.01,2009
20090115,0.01,NULL,NULL,NULL,2009
20090115,0,NULL,NULL,NULL,2009
20090115,0,NULL,NULL,NULL,2009
20090115,0,NULL,NULL,NULL,2009
20090115,0,NULL,NULL,NULL,2009
20090115,0,55,27,0.01,2009
